"mod","cov","est","se"
"Document problem","sh_vs_80gov","0.00","0.00"
"Document problem","sh_vs_80opp","0.00","0.01"
"Document problem","pop_density","0.00*","0.00"
"Document problem","terrain_ruggedness","-0.00","0.00"
"Document problem","ethnic_frac","-0.00","0.00"
"Document problem","isolation_simple","-0.01","0.02"
"Document problem","poverty_rate","0.00","0.00"
"Document problem","literacy_rate","-0.00","0.00"
"Document problem","night_lights","0.00","0.00"
"Procedure problem","sh_vs_80gov","-0.04","0.04"
"Procedure problem","sh_vs_80opp","0.15*","0.05"
"Procedure problem","pop_density","0.01","0.01"
"Procedure problem","terrain_ruggedness","-0.01","0.00"
"Procedure problem","ethnic_frac","0.03","0.02"
"Procedure problem","isolation_simple","-0.11","0.19"
"Procedure problem","poverty_rate","0.00","0.01"
"Procedure problem","literacy_rate","-0.01","0.01"
"Procedure problem","night_lights","-0.01","0.01"
"Agent problem","sh_vs_80gov","0.01","0.03"
"Agent problem","sh_vs_80opp","0.05","0.03"
"Agent problem","pop_density","-0.00","0.00"
"Agent problem","terrain_ruggedness","-0.00","0.00"
"Agent problem","ethnic_frac","0.01","0.01"
"Agent problem","isolation_simple","0.17","0.11"
"Agent problem","poverty_rate","-0.01*","0.01"
"Agent problem","literacy_rate","0.00","0.01"
"Agent problem","night_lights","0.00","0.00"
"Results edited","sh_vs_80gov","-0.02","0.05"
"Results edited","sh_vs_80opp","-0.32*","0.05"
"Results edited","pop_density","0.03*","0.01"
"Results edited","terrain_ruggedness","0.00","0.00"
"Results edited","ethnic_frac","0.05*","0.02"
"Results edited","isolation_simple","0.08","0.18"
"Results edited","poverty_rate","-0.03*","0.01"
"Results edited","literacy_rate","-0.03*","0.01"
"Results edited","night_lights","0.01","0.01"
