"mod","cov","est","se"
"Document problem","observed","0.00","0.00"
"Document problem","pop_density","0.01","0.00"
"Document problem","terrain_ruggedness","-0.00","0.00"
"Document problem","ethnic_frac","0.01","0.01"
"Document problem","isolation_simple","-0.00","0.02"
"Document problem","poverty_rate","0.00","0.00"
"Document problem","night_lights","-0.00","0.00"
"Document problem","literacy_rate","-0.00","0.00"
"Procedure problem","observed","0.02","0.02"
"Procedure problem","pop_density","0.04","0.03"
"Procedure problem","terrain_ruggedness","0.01","0.02"
"Procedure problem","ethnic_frac","0.08","0.05"
"Procedure problem","isolation_simple","0.65","0.65"
"Procedure problem","poverty_rate","-0.03","0.04"
"Procedure problem","night_lights","-0.02","0.03"
"Procedure problem","literacy_rate","-0.02","0.02"
"Agent problem","observed","-0.01","0.02"
"Agent problem","pop_density","-0.02","0.02"
"Agent problem","terrain_ruggedness","-0.01","0.01"
"Agent problem","ethnic_frac","-0.01","0.04"
"Agent problem","isolation_simple","0.44","0.38"
"Agent problem","poverty_rate","-0.02","0.02"
"Agent problem","night_lights","-0.00","0.02"
"Agent problem","literacy_rate","0.02*","0.01"
"Results edited","observed","-0.02","0.02"
"Results edited","pop_density","0.05","0.03"
"Results edited","terrain_ruggedness","0.01","0.02"
"Results edited","ethnic_frac","-0.03","0.04"
"Results edited","isolation_simple","0.14","0.72"
"Results edited","poverty_rate","-0.03","0.04"
"Results edited","night_lights","-0.02","0.03"
"Results edited","literacy_rate","-0.06*","0.02"
"Any problem","observed","-0.00","0.02"
"Any problem","pop_density","0.05","0.03"
"Any problem","terrain_ruggedness","0.00","0.03"
"Any problem","ethnic_frac","-0.04","0.06"
"Any problem","isolation_simple","1.19","0.79"
"Any problem","poverty_rate","-0.09*","0.04"
"Any problem","night_lights","-0.03","0.04"
"Any problem","literacy_rate","-0.05","0.03"
