"mod","cov","est","se"
"Document problem","observed","-0.00","0.00"
"Document problem","pop_density","0.00*","0.00"
"Document problem","terrain_ruggedness","-0.00","0.00"
"Document problem","ethnic_frac","0.00","0.00"
"Document problem","isolation_simple","0.00","0.01"
"Document problem","poverty_rate","0.00","0.00"
"Document problem","night_lights","-0.00","0.00"
"Document problem","literacy_rate","-0.00","0.00"
"Procedure problem","observed","0.02","0.01"
"Procedure problem","pop_density","0.04*","0.02"
"Procedure problem","terrain_ruggedness","0.00","0.01"
"Procedure problem","ethnic_frac","0.10*","0.04"
"Procedure problem","isolation_simple","1.26*","0.55"
"Procedure problem","poverty_rate","-0.00","0.03"
"Procedure problem","night_lights","0.00","0.02"
"Procedure problem","literacy_rate","-0.03","0.02"
"Agent problem","observed","-0.00","0.01"
"Agent problem","pop_density","-0.01","0.01"
"Agent problem","terrain_ruggedness","0.00","0.01"
"Agent problem","ethnic_frac","0.02","0.03"
"Agent problem","isolation_simple","0.08","0.27"
"Agent problem","poverty_rate","-0.01","0.01"
"Agent problem","night_lights","0.00","0.01"
"Agent problem","literacy_rate","0.01","0.01"
"Results edited","observed","-0.01","0.01"
"Results edited","pop_density","0.03","0.02"
"Results edited","terrain_ruggedness","-0.00","0.01"
"Results edited","ethnic_frac","0.04","0.04"
"Results edited","isolation_simple","0.72","0.75"
"Results edited","poverty_rate","0.00","0.02"
"Results edited","night_lights","0.01","0.02"
"Results edited","literacy_rate","-0.04","0.02"
"Any problem","observed","-0.01","0.02"
"Any problem","pop_density","0.02","0.02"
"Any problem","terrain_ruggedness","-0.01","0.01"
"Any problem","ethnic_frac","0.04","0.05"
"Any problem","isolation_simple","1.08","0.62"
"Any problem","poverty_rate","-0.02","0.03"
"Any problem","night_lights","0.00","0.02"
"Any problem","literacy_rate","-0.02","0.02"
